name,review,rating,sentiment
"HALO SleepSack 100% Wearable Blanket Applique, Elephant, Small",I purchased the first sleep sack according to the weight requirements and it was huge! I had to return it for a smaller one. I would recommend ordering one size smaller so your baby can't wiggle out of it or it fall off of your child.,5,1
"HALO SleepSack Plush Dot Velboa Wearable Blanket, Cream, Medium",I love rocking my little one to sleep in this minky fabric.  It is so so soft and cuddly which is perfect for these cold nights.  I still don't feel comfortable putting blankets on him so this keeps him warm and sets my mind at ease. I wish I had bought this one earlier.,5,1
"HALO SleepSack Plush Dot Velboa Wearable Blanket, Cream, Medium",We keep my daughters room at 69-70 degrees overnight put her in a pair of pajamas and this sleepsack. She sleeps through the night and never feels too hot. The few times we didn't use the sleepsack and turned up the temp to 73 she didn't sleep all that well so perhaps the sleepsack adds some extra comfort that she likes.,5,1
"HALO SleepSack Plush Dot Velboa Swaddle, Pink, Newborn",it is very comfortable and I like it very very much..  it was my pretty doughtars lovely cloth...  very sweet blancket,5,1
Bearington Baby - Blessings Lullaby,I bought three of these lambs as a keepsake for 3 of my grandhcildren who sang Jesus Loves me for their Great-grandma's funeral.  They sang like little angels.  They keep this on their beds to play when they go to sleep at night.  They were tenderly kind to my Mother.  This made a lovely keepsake.,5,1
"HALO SleepSack Plush Dot Velboa Swaddle, Cream, Newborn",I use this product every day. Easy to wrap my baby on it. This is very important specially overnight. They come in cotton for summer and a thicker material for winter. My baby sleeps on it very night.,5,1
"HALO SleepSack Plush Dot Velboa Swaddle, Cream, Newborn","The Halo SleepSack has very soft fabric, and is perfect for babies that want to have arms in or arms down. The zipper is a nice feature for quick changes",5,1
"HALO SleepSack Plush Dot Velboa Swaddle, Chocolate, Newborn","I received an identical blanket at a baby shower and loved the soft, cozy material so I knew this sleep sack would be perfect.  It's roomy enough for my little guy to grow with.",5,1
"Manhattan Toy Beads Wood Rattle, Classic",Baby at 6 months does not play with it for very long. His friend who is 2 years old really liked playing with it the other day tho,4,1
Dr. Seuss Cat In The Hat Stacker,"This was a Christmas present for my son (he was about 1 yrs old when recevied) and he still plays with it at 18 mths.  Wish he had this toy at about 6 mths, he would have liked it then too.  I like it because it is soft and I have washed it on gentle/delicate cycle a few times and it is still holding up well (even though it doesn't say machine wash it was fine).  He liked to teeth on the soft rings and likes pulling the rings on and off the stacker.Fun stacking toy, a little pricey but good toy.",5,1
Dr. Seuss Cat In The Hat Stacker,I love that this ring stacker is plush and soft instead of the usual hard plastic. The colors are very vibrant!,5,1
"Manhattan Toy Pull-A-Long Friend, Puppy","This was a gift for my 21-month-old daughter.  She loves dogs, and she loves this toy.  I love that the paint and finish are non-toxic.  The wheels roll smoothly, and my daughter likes that the dog's head goes back and forth when she pulls it along.  I think it's the perfect size for a pull toy.  The rope is a bit short, but I just tied a piece of ribbon to make it slightly longer.",5,1
Dr. Seuss One Fish Stacking Blocks,Adorable. Every child will love stacking them. Nice photos and words on the side of the boxes. I would buy again.,5,1
"Spasilk 10 pack Soft Terry Washcloth, Blue","These are very soft and look cute. After one washing and drying on a very low setting, they do shrink quite a bit. They still seem to be big enough for an infant, but may continue to shrink or may even start to curl on the edges with more washings.",4,1
"Spasilk 10 pack Soft Terry Washcloth, Blue",These are the perfect baby wash cloths - small and thin. Not sure why people are faulting them for being small and thin. I like that they're thin because then they're great to use for things like wiping baby's face and eyes.,4,1
"Spasilk 10 pack Soft Terry Washcloth, Blue",Awesome deal and great buy! I love the colors and patterns. Most of all I love that the product is under $6.,5,1
"Spasilk 10 pack Soft Terry Washcloth, Blue",These wash cloths do the trick.  They are inexpensive and easily replaceable.I use them for light cleanups for the face after meals (travel friendly) and they are soft to use in a bathtub.They do fade very easily but I don't expect them to last forever.,5,1
"Spasilk 10 pack Soft Terry Washcloth, Blue","I needed small washcloths to clean my LO's bottom for cleaning up during diaper changes.  I thought the 100% cotton ones couldn't be beat (from the spa silk towel and washcloth set), then I purchased a set of these to try out.  LOVE THEM!!!  These are great for cleaning baby's bottom - use a wipe to get the major stuff, then use these washcloths (soaked in warm water and wrung out) to get the detailed work done.  The are small and thin enough to get in the nooks and crannies, but absorbent enough to retain enough moisture to be effective.  They have a soft side and a ""rougher"" side.  Terrific.  I'll probably eventually start using in the bath, but they are terrific for diaper changes right now.  I purchased two more packs to make sure I have enough on hand.  Well worth it for my use!  Highly recommended for this use!",5,1
"Spasilk 10 pack Soft Terry Washcloth, Blue","We use this Washcloth for everything. Feeding time, bath time, clean up spills time.You name it and we have used this Washcloth for it.Just remember - One side is rough and the other side is smooth.FYI - The design side is the rough side.",5,1
"Spasilk 10 pack Soft Terry Washcloth, Blue",These are nice and soft. We love these because they are soft on the babies tender skin. Wish they were a little larger though.,4,1
"Spasilk 10 pack Soft Terry Washcloth, Blue","Gift also. but not much you can say about a wash  cloth, they look fine thru the package. Wash cloths are well wash cloths",5,1
Bugboo Exploratory Soft Book,"This book has captivated my 6 month old, providing stimulation with many colors and textures for her to explore and enjoy!",5,1
"Spasilk 100% Cotton Hooded Terry Bath Towel with 4 Washcloths, Beige","the product, was in excelent conditions and was on time. thanks a lot.SpaSilk 100% Cotton Hooded Terry Bath Towel with 4 Washcloths, Green",5,1
"Spasilk 100% Cotton Hooded Terry Bath Towel with 4 Washcloths, Beige","The towel and washclothes are very rich and absorbent. They make washing baby and drying him easy and enjoyable. I loved them so much that I order 2 more. For the quality of the product, this is a bargain.",5,1
"Spasilk 100% Cotton Hooded Terry Bath Towel with 4 Washcloths, Beige","Bought this towel washcloth set because I liked the frogs.  We use it with each bath and it works fine.  Launders well.  I do like other thinner, softer baby washcloths to use for washing on our 5 week old daughter.  I use the wash cloths from this set to wet and place on her abdomen to keep her warm in the bath (they are thicker, larger and a little rougher).  I think these wash cloths will work well for washing her when she is bigger.",4,1
"Spasilk 100% Cotton Hooded Terry Bath Towel with 4 Washcloths, Beige","it's 100% cotton, so it absorbs great and is gentle to baby's sensitive skin. though the blue whale seems to be a little scratchy on the inside where it touches his forehead. i might cut the thing off.",4,1
Lamaze After-Pregnancy Perineal Healing Spray,"i had a 3rd degree tear with my first daughter and used a spray that was medicated that the hospital gave me, this time around i wasn't going to a hospital so i knew i would need to by something and turns out i had a 2nd degree tear this time so i did need it....this is what i chose and it helped a great deal....only down fall it that it is hard to get it to spray when you hold it upside down which is the easiest way to spray it where you need to...i didn't even use a half a bottle and used it for 4 weeks :) so i think a smaller size with a differnt pump and it would be perfect",4,1
Hooter Hiders Nursing Cover - Aero,I LOVE this cover. It is very discreet and I don't have to worry about my baby pulling the cover off when she is wiggling. I love that I can look down to quickly see her. I never have to worry about an embarassing exposure with this cover. I also like that it is not as hot as a regular blanket. The case it comes in is great to keep the diaper bag organized.,5,1
Hooter Hiders Nursing Cover - Aero,Amazing product for MomsI find this nursing cover to be VERY stylish and work wonderfully. It is big enough to cover everything yet comes with a small pouch it folds into for storing. The fabric is a nice quality and I am very happy with this and would recomend it over any other nursing cover.,5,1
Hooter Hiders Nursing Cover - Aero,This nursing cover is very durable. It washes easily and has been stuffed in my bag tons of times. The fabric and rigid neckline have held up well. The storage pouch helps keep my bag organized. I like this style because of the ruffles.,5,1
Hooter Hiders Nursing Cover - Aero,I feel so secure when using this cover up. And I love the opening up top so I can see my daughter. I have had it no for a little while and it still stays open.,5,1
Hooter Hiders Nursing Cover - Aero,"This cover works wonderfully for both mother and baby, and is discreet and attractive.  The boning in the top lets mom see baby and lets baby see mom and have air circulation.",5,1
Hooter Hiders Nursing Cover - Aero,Highly recommended. Convenient and easy to use for nursing. Very cute pattern and little ruffled pocket on the side for burp rags or other odds and ends.,5,1
Hooter Hiders Nursing Cover - Aero,"I love this product...I can feed my daughter anywhere without any hassle or problems..Before I bought this product, I used a blanket and it always fell..This product is so convenient..",5,1
Bink Link Pacifier Attacher By Fruitabees - Skully,"Ordered this quite a while ago, my son loved it more than the pacifyer itself!  He still uses it as a toy, his face lights up every time he uses it!  Go figure, it's cheaper than a toy too!",5,1
"The Original Woombie Cocoon Swaddle, Big Baby Glow","This seems like a great idea, but somehow my daughter is still able to get her arms out by her neck, which only makes her more frustrated. She can come out of Kiddopotamus swaddle as well, so now I'm putting her in both at the same time, with Woombie being on the outside. Works great, and she sleeps like a, well, baby.",4,1
Breast Pump Adapter ( Multi-Pack),These attach to my Medela Pump in Style pump so I can pump a higher volume of milk in one sitting. It is nice not having to change the bottle out during a pumping session.,4,1
"Real Nappies Cloth Diapers Essentials Pack, Crawler Size, for babies 6-18 months, 17-30 lbs.",I was on the fence about trying cloth diapers.  I'm so glad I tried these.  I didn't want to spend a lot of money and many of the other brands are very expensive.  This system works well and is easy to use.  We use half cloth and half paper diapers.  This system definetly paid for itself and has saved us money.,5,1
"Real Nappies Cloth Diapers Essentials Pack, Crawler Size, for babies 6-18 months, 17-30 lbs.","Great starter to transitioning to exclusive cloth diapers!!  So affordable and soft!  Our baby is not born yet, but we  look forward to the savings and eco-friendliness that cloth diapers allows us to have.",4,1
"Real Nappies Diaper Liners, 100 Sheets","This is the 3rd liner I've tried. It seems really flimsy, but it holds the stool really well. I will purchase again. BTW: my baby is 8mo old and on solids/nursing (for those of you who understand how the stools change with age/food).",5,1
Vibrant Butterflies Nursery/Kids' Room Wall Sticker Decals (Glow in the dark),"Got these for my 3 year olds room, they are perfect.  You can actually remove and replace without having to worry about taking paint off of the wall.  Just wish that there were more then one sheet of the butterflies.  that would have made it even better.",5,1
Vibrant Butterflies Nursery/Kids' Room Wall Sticker Decals (Glow in the dark),I bought these stickers for my daughter's new room and they are great! I have had to remove them and re-stick and have had no problems with them. I would recommend these wall stickers.,5,1
"Real Nappies Cloth Diapers Birth To Potty Super Value Pack, Over 100 Items For Babies 6 lb to 40+ lb","This is my first baby and first time experiencing cloth diapers. Everyone in my family and my friends thought I was nuts for wanting to use cloth diapers but after all the diapers I have changed, I can't imagine all the money we would be spending on disposables! However, there is more work involved. I soak them in the washing machine, with some stain remover, while I wait to have enough to do a load. (I do this because by daughter is breastfed and we don't use the liners yet. The stools are too loose and the liners are useless until she starts getting more solids in her system) When it comes time to start a wash, I add some baking soda and pre-wash them before adding a regular detergent, and vinegar, and doing a regular wash. Afterwards, I dry them on a low heat setting in the dryer and then iron them flat. Like I stated before... a lot of work. But I definitely think it is worth it. We still use disposables when we are at daycare (could not find one that was willing to use the cloth) or out of town (for ease) but use the cloth at home consistantly. I really like how the Real Nappies give you so much in one package. I was concerned before I received them about how they would work out because they cost so much money, but they have really turned out to be easy to use. I do suggest buying a couple of snappies to use on the inside cloth diapers though. I bought these later and have found them to be incredibly useful. I am very happy to know that I have paid my dues and have enough cloth diapers to last me for my daughter's entire diaper years. No need to think about what size I will need next and how many of everything I need. This package has made cloth diapering very easy for me. Especially since I am a new mom. The only thing I wish would change is the velcro. They are kind of a pain and I worry about them coming undone when she gets to a crawling stage (another good reason to use snappies). Snaps would have been nicer but I understand that the velcro makes sizing easier as she grows.",4,1
Tub Tattoos: Monkeys,"Shipping was fast, and the product does what it's supposed to. Haven't had any problems with any of them not sticking or coming off. It's a super easy solution to fix any slippery surface. I definitely recommend this product!",4,1
"Quickzip Organic Crib Sheet Set, White","Since crib mattresses are very snug by design, changing the sheet is a big hassle:  pry and lift the mattress from the crib, change the sheet while taking care to ensure proper slack at each corner, then shove the mattress back in.  Repeat for your second baby.With Quickzip sheets, you just unzip the dirty upper portion, then zip on a clean one.  Very quick and easy.  The zippers are big and sturdy, and covered over by extra fabric overhang.Less material to wash equates to more efficient laundry (carrying, load size/soap/water, folding, storage).  We have 3 sets of these for 2 cribs and a few more top sheets for laundry rotation.  They fit fine overColgate Eco Classica III Dual firmness Eco-Friendlier Crib mattress, Organic Cotton CoverandAmerican Baby Company Organic Cotton Quilted Crib & Toddler Crib Size Fitted Mattress Pad Covers, Natural.",5,1
"Quickzip Organic Crib Sheet Set, White","I have been using these for two years. I like them because they don't bunch up and have stayed white through a number of accidents. It's a little difficult to fully change because I have to heave the heavy mattress over the bed rail, but if you're just changing the top, it's a breeze.",4,1
"NUK 2 Pack Designer Pull BPA Free Silicone Pacifier, Baglet, Size 2, Colors May Vary",AAA pacifier for your baby. I bought 3 packs of 2 each and color did not vary (blue and green) neither you are able to choose them.,4,1
"Munchkin Steam Guard Microwave Sterilizer Bags, 6 Pack, White",great for travelling.  just a bit small.,5,1
"Munchkin Steam Guard Microwave Sterilizer Bags, 6 Pack, White","I used up all my Medela Sterilizer bags and decided to try another brand. The material is the same, the number of uses per bag is the same. These seem to have more space. I can put more items in these bags than I can in the Medela bags. I think these cost a little less than the Medela so I think overall this is a better buy.",5,1
"Munchkin Steam Guard Microwave Sterilizer Bags, 6 Pack, White",SO these sterilizer bags were a lifesaver for me at work. I kept my pump parts in my office and would just use these sterlizer bags to clean my pump parts in our office kitchen. These are so easy to use and you can use them each 20 times! These are a lot more affordable than the other brands and the you can feel the quality of the bags as soon as you open up the packaging. Great product and shipped FAST!!,5,1
"Munchkin Steam Guard Microwave Sterilizer Bags, 6 Pack, White","These are so easy to use for sterilizing! We go camping often and I use these to sterilize while away rather than bringing my big round plastic microwave sterilizer or boiling water. Each can be used many, many times. I am a huge fan!",5,1
"Munchkin Steam Guard Microwave Sterilizer Bags, 6 Pack, White",Pretty sturdy and nice. I think you might be able to use them a little more than 20 times for sure!,5,1
"Munchkin Steam Guard Microwave Sterilizer Bags, 6 Pack, White","i bought these bags to store, transport and clean my pump parts.  they are great to use for a working mom!note the bag barely fits 2 pump horns & bottles, and some brands fit better than others (lansinoh fit in the bag no problem, medela lactina kit is a tight squeeze).for those who can fit a lot in the bag-please give us details on how you do it!",5,1
"ShadyBaby Sock Monkey Stroller Parasol, SPF 50+ Stroller Umbrella - 24&quot; Diameter",This umbrella can be adjusted in almost any way making taking a stroll in the sun very doable. While walking simply move the umbrella a bit to keep baby shaded.,5,1
"ShadyBaby Sock Monkey Stroller Parasol, SPF 50+ Stroller Umbrella - 24&quot; Diameter","I saw this on the Shadybaby website for $35 but got it for $20 here.  Perfect condition.  you just clamp onto any bar on the stroller, tighten and open the parasol.  It has a small bendy party that allows you to angle the parasol.  It's perfect for our walks and the sock monkey is a cute design!We use it everyday, literally.",5,1
Original Sleepy Wrap Baby Carrier (Light Blue),"This wrap takes a bit of work to get on and get baby situated, but is by far the best carrier/wrap we've tried once the baby is in it.  Baby is securely and comfortably snuggled to the chest, and the wrap distributes the weight over both shoulders so is really comfortable to wear.",5,1
Original Sleepy Wrap Baby Carrier (Brown),"I Bought this wrap when my baby was two months old and he loves it . It relaxes him and it's comfortable enough to wear for long time periods. It's one size fits all unlike some so I can wear it , grandma can wear it , etc.  It's the best priced wrap I've seen and the company doesn't charge extra for different colors or prints. I would definitely recommend this .",5,1
"Trend Lab Ultra Suede Hamper, Pink","We bought this for our daughter's bedroom.  You know, to try and keep the clothes off the floor.  Amazingly, it worked!  There is no assembly except to hang the outer part on the frame, and then do the same for the removable inner liner.  The fabric is soft, resists mildew and looks great.",5,1
Kinderville Little Bites Cups Set of Four,"We got these cups for our two toddler boys and for us, they were the perfect size. Yes, sometimes we refilled them a lot, but if we'd given them anymore, they would have picked up the whole thing and spilled it. We always prefer to err on the side of less food and less mess and possible seconds (or thirds).Lovely to have something that isn't going to break when dropped. For me, these didn't smell like plastic (well, they Aren't plastic) - there was no bothersome scent to me.And the boys loved picked a color to drink from (wearing a green shirt? get the green cup). I do wish the ""blue"" was a little more blue.Our biggest problem with these is they are nice and squishy. This was fine for our older child (I think he was 2.5 when we got these?) but our younger son is a mess lover and food scientist and would sometimes squish the cup sides together when full, causing a spill.We were willing to live with this occasional mess for the benefits though. We did finally trade them out for some Duralex Picardie glasses in the 7.5oz size to match my husband and I's bigger glassware. Yes, they are glass, but very break resistant and the boys have yet to break one of theirs, though nothing is magic of course.These glasses live on in the bathtub however, as a favorite bathtoy. I love that it's something non-plastic that won't mold in the tub and the boys love stacking and pouring and all kinds of things with them. And the new baby loves to teethe on them. In fact, I was reminded to write a review as I was adding them to our wishlist.",4,1
Kinderville Little Bites Cups Set of Four,"I have the lidded storage jars and just love them.  I make all of my own baby food, and these are a great tool.  They hold up well in the dishwasher and I have used them as small adult dessert dishes and my 3 year old son likes to use them as well because they are so bright and fun.  I believe they will hold up well into the future.",5,1
Kinderville Little Bites Cups Set of Four,"I bought these bowls for my seven-month-old daughter and am very happy with the purchase. I bought them after realizing the cheap plastic bowls I bought for cereal and baby food may have harmful chemicals in them, found these, and am glad I bought them! They are so much better than plastic because they heat well in the microwave, are easy to clean and don't stain, even with baby food carrots. Although they are flexible, they seem to be sturdy and unlikely to slip on a high chair tray. The most important thing is that I don't have to worry about chemicals getting into her food. I plan on purchasing more silicone products in the future in an effort to get away from plastic!",5,1
Kinderville Little Bites Cups Set of Four,wow- these were so worth the money !  awesome- my 3 yr. old loves them. they're sturdy and he feels like a big boy- he even refills the cup himself from our filtered water. love them and will tell others or buy them for gifts !,5,1
Kinderville Little Bites Cups Set of Four,"All our friends know us by being safety contentious with the products we use on (diapers, wipes, etc.) in (food) or with (cups, bowls, etc.) and these were recommend to us by some friends. We absolutely LOVE them... and so do our kids!",5,1
Fuzzi Bunz Organic Cotton / Fleece Double Sided Wonder Wipes - 10 pack,"I really love these wipes. They are so soft and luxurious, who wouldn't want their tushie wiped with these? My child has very sensitive skin, and these are so gentle on her. Yes, they do shrink a bit after you wash them, but they are still plenty big enough to get the job done. These are the best cloth wipes I have found.",5,1
"Dream On Me 2 Position Baby Bather Bath Tub, Yellow","I really wish I had found this bath tub sooner. I'd purchased 4 other bath tubs, ranging from various infant tubs to the Leacho Bath 'N Bumper, and my daughter has outgrown them all. However, she can't sit up unassisted for long yet, so I've been struggling to bathe her in the adult tub. This tub solves all of my problems!!!! It is big enough for her, and whether I put her in the lying down or sitting up position, the ingenious grooves keep her steady!!! I love everything about this tub, and again it would have saved me a lot of money had I found it sooner.",5,1
"Dream On Me 2 Position Baby Bather Bath Tub, Yellow",we are using this every day and we love it. it fits perfectly to our tub and the kids love taking baths in it.,5,1
Graco Jump N Jive Doorway Jumper with Interactive Musical Mat,"We are very happy with this purchase. Pretty easy to put together. I did have a little trouble with the seat because the directions are very basic. You have to fold the seat over the top of the seat, slide the rim through the slats THEN attach the buttons... I was trying to slide the seat up from the bottom without folding over the top to attach the buttons which did not work. Was very frustrated till I realized the problem. Our 14 wk old LOVES the jumper. He loves to kick his legs and now he can jump all around... I would like for the door clamp to have a locking feature but the clamp does feel secure. I also like that it is very portable.",4,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","When new moms ask what products they 'must have' this is always my first recommendation.  We used this almost every night for 6 months with our first baby.  He slept right next to my bed which made it so convenient to nurse him when he woke in the middle of the night.  I slept better because I didn't have to go across the house every time he was hungry.  He also wasn't a fan of his crib; he either didn't like sleeping flat or just liked being a little more snug when sleeping.  Either way this was the solution!  I love that is flattens easily and is lightweight and portable.  I can rock him to sleep when I'm doing the dishes!  The cloth is soft and spot cleans nicely, and also easy to remove and toss in the washer.  Then fits back on just like new.  I highly recommend this for new babies!  And even with using it for as long as we did it still looks brand new for baby #2.  Holds up very well.",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","We bought this on a whim for our baby girl, and haven't regretted it for a moment!  She is always so content sitting around the house in this sleeper, and sleeps well in it when she takes naps.  It is a great height to keep her on our level when we are sitting on the couch.  We tend to drag it all around the house from room to room to keep her entertained as we do things.  She is completely happy kicking and rocking in it as long as she is wherever we are.  We love it!",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow",We got this bed as a gift and considered taking it back because we thought we would only use it for the first few months but my son is 11 months old and we still use it when he has a cold and he loves to sleep in it. It is also very easy to take with us even in our Honda Civic Hybrid (small trunk).,5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","My daughter sleeps so well in this sleeper.  Such a great buy.  Keeps her at an incline position, which she loves.",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","My son refused to sleep in his crib from birth.  After days of struggling we finally got him into our bed sleeping on his Boppy pillow.  That was a great arrangement but I started to worry about him sleeping there and when washing the cover, discovered the BIG tags saying how BAD it was to let your baby sleep in their Boppy pillow.  I found this sleeper on Amazon and it has been AMAZING.  He sleeps for hours in here and is out of our bed, allowing me to wake without stiff neck and arms from cuddling with him all night.  However, at 6 months and 20 pounds he has figured out how to push against the leg part and push himself up, making it no longer safe.  I am devastated and with his continued refusal to do anything but nap in his crib, my husband and I are looking for a new version of this.  An absolute life saver.  We've taken it on trips (disassembled and fits in a suitcase) and has awesome sleep even while away from home.  Buy this.  Cheap at three times the price.",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","I love this little rocker.  It is very lightweight and portable and the incline is perfect for my reflux cursed newborn.  The rocking component is very basic and simple, but once he is asleep, no need for rocking.I like the seat belt feature as it will make this purchase last a little longer than a few months.He likes to sit in it as well as it gives him a better view than flat on his backThe reasons I gave it 4 stars instead of 5 are these....1. I find it a little cumbersome to collapse (though maybe should be a pro for safety reasons, but I am thinking of my use)2. I do wish it had a vibration feature of some automatic rocking button (but the simplicity I am sure keeps the price low)All in all, I am happy with this purchase, but would not say it is a must have.",4,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","My twins went from waking every 2.5- 4hrs.  To sleeping 6-7 hours at night!  My baby girl slept 9 hrs one night. They are 3months old.  They usually don't take naps. Now they take several a day, or one long one.  It has been a lifesaver.. and I can actually sleep now, and get housework done !  I see a difference, rocker vs crib ! But I still like for them to spend time in the crib...But find that they are less cranky after waking up in the rocker. I bought one to try it out. And purchased the second one within a week of receiving the first.  Love it Love it Love it !......................Now my babies are 9 months old, they do not have FLAT HEADS, they seemed to have slightly mis-shaped heads before they started using this. I religiously turned their heads at first but later gave up. When lying flat, they would resist head turning. In this crib, they would stay asleep and it was easy to turn the heads. My girl would also vomit or spit up on a daily basis since the day of her birth. This seemed to help that too.  I also washed the covers regularly.. never saw any type of mold...and I would know, I live in a humid area and am allergic to many types of mold!",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","This is the best baby item we had for our son.  He spent many a night in this.  It is super comfortable (I suspect), serving as an instant swaddler.  The cloth is super soft and washes easily.  It also travels very easily, and went with us everywhere.  I buy this item for all the new, expectant moms I know, and they grow to love it also, though it doesn't take long.",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","Love this seat. I used it for my now 18 month old and have bought one for my sister and two for gifts for baby showers.  My son used this till he was 5 months.  It is all he would sleep in at night since he had reflux problems.  I like that it sets higher up off the floors than bouncy seats and is easy to pull from room to room.  We also took this when we went to visit friends or was gone overnight. Reading on here is the first I have heard of mold problems but I regularly cleaned mine, by removing the cover and washing and wiping the plastic parts down with lysol wipes.  I never saw mold of any kind on mine and I always cleaned and inspected it everywhere.",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow",Yet another gift we got off our registry.  This product was used all the way up until my son turned 6 months as he was starting to sit up so it wasn't safe for him to be in it anymore.  It's easy to assemble.  I put it together when I was 7 months pregnant.  Our son slept in this until 4 months old due to his acid reflux.  I do agree with other reviews on how it's rather hard.  What I did to fix this is take the cover part off and put blankets under there to soften it up.  I do see that they have come out with newer version of this that has a softer base to it.  We truly loved this product so much that we bought another one.  One to keep upstairs and one downstairs.,5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","I had looked for this item at other places, but did not find the color or style I was looking for.  I then looked on Amazon and found exactly what I was looking for.  I bought it as a gift and my sister in law was completely satisfied with the quality of the cradle.",5,1
"Fisher-Price Newborn Rock 'n Play Sleeper, Yellow","Best baby purchase EVER. Reflux or not, it is a must have. It also comes in handy for colds since it elevates the baby enough to breathe. The first three months would have been miserable without it!",5,1
